source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-16,,2026-03-30T21:41:55.540925+00:00,350.8244,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-17,,2026-03-31T21:39:24.339520+00:00,352.4655,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-18,,2026-04-01T21:41:47.710797+00:00,353.3849,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-19,,2026-04-02T21:38:20.272192+00:00,351.9053,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-20,,2026-04-03T21:34:06.290708+00:00,354.6581,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-23,,2026-04-06T21:38:11.523186+00:00,354.9050,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-24,,2026-04-07T21:44:58.811064+00:00,357.7452,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-25,,2026-04-08T21:41:23.241647+00:00,358.1352,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-26,,2026-04-09T21:45:41.566202+00:00,357.4484,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,eur_lkr_tt_buy,EUR/LKR TT Buy Exchange Rate,exchange_rate,2026-03-27,,2026-04-10T21:37:45.921083+00:00,357.0842,LKR per EUR,business_daily,EUR,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
