source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-16,,2026-03-29T10:29:05.987566+00:00,46.2920,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-17,,2026-03-29T10:29:05.987566+00:00,46.4376,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-18,,2026-03-29T10:29:05.987566+00:00,46.3980,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-19,,2026-03-29T10:29:05.987566+00:00,46.3136,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-20,,2026-03-29T10:29:05.987566+00:00,46.3864,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-23,,2026-03-29T10:29:05.987566+00:00,46.3481,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-24,,2026-03-29T10:29:05.987566+00:00,46.7123,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-25,,2026-03-29T10:29:05.987566+00:00,46.6987,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-26,,2026-03-29T10:29:05.987566+00:00,46.6706,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,cny_lkr_tt_sell,CNY/LKR TT Sell Exchange Rate,exchange_rate,2026-03-27,,2026-03-29T10:29:05.987566+00:00,46.6551,LKR per CNY,business_daily,CNY,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
